,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
11,2012-12-04,AMD,2.4800000190734863,2.4800000190734863,2.2100000381469727,2.259999990463257,52165300.0,1.0,-0.07246065772105359,2.279257690222716,1.7227422840280775,42.244544726189446,164.5911405427627,24.32900352224918,2.036999980608622,2.688166662057241
11,2012-12-04,AMZN,249.94000244140625,253.0,248.66000366210938,252.49000549316406,3114700.0,1.0,3.7509139643729554,257.63971107598064,215.0402907550741,57.21328221214983,159.14731686035006,27.443635492600578,235.2106674194336,244.49116744995118
11,2012-12-04,BIDU,95.5,95.80999755859375,89.16000366210938,90.23999786376953,12490100.0,1.0,-3.5694002989524876,106.75425936920315,87.67773983733981,36.601823722603335,-99.6549189633219,47.381822729668414,101.6519994099935,106.84783261617025
11,2012-12-04,GOOG,346.2023620605469,346.4563903808594,341.5697021484375,344.2247619628906,3998331.0,1.0,-0.22678649377962756,349.3241188409456,318.1833945867888,51.60930175089861,101.72322469927714,1.8281278242594332,335.57518005371094,351.12074483235676
11,2012-12-04,INTC,19.6299991607666,20.049999237060547,19.610000610351562,15.397835731506348,57942400.0,1.0,-0.3758754479205617,16.45951227873904,14.602941086586888,39.555511384287556,-67.11358118165371,22.852150215737314,15.885583273569743,16.601878277460735
11,2012-12-04,MSFT,26.5,26.6299991607666,26.34000015258789,21.947710037231445,49777500.0,1.0,-0.44936156989794185,24.290343907299633,21.238044306811698,38.21463669263339,-100.45095810719975,32.660413811104064,23.042463620503742,23.985135332743326
11,2012-12-04,NVDA,2.942500114440918,3.0299999713897705,2.924999952316284,2.7967240810394287,52806800.0,1.0,-0.028808011681001666,2.954729522236623,2.575801216593943,46.84118768517131,-30.607645564379727,15.319480187902471,2.783937684694926,2.916555956999461
11,2012-12-04,QCOM,63.439998626708984,63.58000183105469,63.0,48.56517791748047,10194200.0,1.0,0.5938297100764274,49.39947304865934,45.495060871628745,56.30189330929754,97.76616352150394,19.04657265933083,46.62649714152018,47.107787132263184
12,2012-12-05,AAPL,20.318214416503906,20.33035659790039,19.241785049438477,16.64435386657715,1044638000.0,2.0,-0.21264492503861732,18.667482949172243,15.966519354904905,39.54439931781817,-74.69055943390606,31.580547050142343,17.709235382080077,19.0558677037557
12,2012-12-05,AMD,2.299999952316284,2.319999933242798,2.25,2.2899999618530273,20378800.0,2.0,-0.05065410880108523,2.317775930444799,1.706224046667017,42.93217324237569,148.25174266233697,24.329003522249174,2.0406666437784833,2.668833327293396
